center	of mass	green			blue			red		
center_x	center_y	object_intensity	cm_intensity	avg_intensity	object_intensity	cm_intensity	avg_intensity	object_intensity	cm_intensity	avg_intensity
283	286	2633	7	263	2439	39	243	9903	173	990
293	206	1347	16	134	2426	22	242	1847	17	184
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
321	76	1452	11	145	1746	19	174	3112	33	311
349	31	1404	25	140	3182	52	318	15550	234	1555
384	8	1485	14	148	3265	49	326	6486	99	648
282	290	2798	32	279	2170	32	217	8690	140	869
282	288	2523	15	252	2456	45	245	10715	200	1071
292	237	5606	82	560	1793	22	179	5438	73	543
294	206	1431	36	143	2477	30	247	1910	20	191
293	206	1347	16	134	2426	22	242	1847	17	184
297	173	1289	11	128	3114	44	311	2256	34	225
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
323	74	1367	15	136	2075	23	207	3774	41	377
322	75	1265	12	126	1951	12	195	3434	44	343
352	28	1605	43	160	3920	49	392	12677	211	1267
350	29	1481	27	148	3321	40	332	15406	198	1540
383	9	1375	8	137	3310	45	331	6586	88	658
383	8	1388	6	138	3234	46	323	6454	108	645
161	377	17947	213	1794	17059	255	1705	2432	32	243
273	211	6867	71	686	14813	231	1481	2141	32	214
43	193	5323	33	532	9526	166	952	5662	95	566
264	194	4474	22	447	5798	37	579	11405	98	1140
17	153	12919	101	1291	2016	39	201	6007	83	600
134	137	11768	109	1176	810	11	81	5839	87	583
42	92	8739	97	873	9037	137	903	5214	85	521
43	193	5323	33	532	9526	166	952	5662	95	566
270	202	8068	77	806	8027	45	802	4955	26	495
18	153	11683	160	1168	2010	40	201	6054	85	605
17	153	12919	101	1291	2016	39	201	6007	83	600
42	92	8739	97	873	9037	137	903	5214	85	521
253	355	7591	74	759	8975	122	897	5456	60	545
348	241	2042	11	204	5851	86	585	16756	255	1675
185	168	2905	47	290	1092	15	109	5062	72	506
254	354	8405	176	840	7430	110	743	4699	66	469
348	241	2042	11	204	5851	86	585	16756	255	1675
121	369	1647	13	164	1706	20	170	12944	204	1294
321	360	2920	28	292	1977	16	197	6304	89	630
340	281	947	11	94	7793	112	779	2964	43	296
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
221	170	1248	3	124	1865	21	186	14688	194	1468
371	102	5145	62	514	715	10	71	5390	74	539
276	97	2988	42	298	8533	106	853	4966	65	496
120	367	1921	10	192	1220	18	122	9049	162	904
320	366	3773	69	377	5278	75	527	6328	78	632
340	305	896	13	89	1217	18	121	5974	64	597
339	277	1015	10	101	8164	123	816	3048	38	304
339	279	816	13	81	7758	122	775	2858	42	285
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
222	170	1267	16	126	1912	27	191	15081	189	1508
221	170	1248	3	124	1865	21	186	14688	194	1468
276	97	2988	42	298	8533	106	853	4966	65	496
338	377	1414	10	141	3117	35	311	14908	207	1490
357	348	1620	20	162	2897	36	289	2224	29	222
374	330	2288	36	228	8791	139	879	5163	67	516
306	287	3944	25	394	1024	16	102	2167	28	216
344	300	755	5	75	1128	14	112	4263	59	426
150	262	2726	33	272	898	13	89	1800	23	180
380	243	2436	36	243	9777	135	977	2320	32	232
292	236	983	4	98	1172	10	117	5800	82	580
188	154	1657	32	165	5498	55	549	3634	40	363
337	120	971	16	97	2638	38	263	2111	26	211
63	90	5133	49	513	1586	25	158	4584	57	458
230	85	3858	40	385	980	17	98	2021	24	202
32	82	1637	28	163	5227	80	522	14613	186	1461
378	52	2458	30	245	2430	24	243	6832	78	683
338	377	1414	10	141	3117	35	311	14908	207	1490
360	324	987	9	98	1381	8	138	743	7	74
380	243	2436	36	243	9777	135	977	2320	32	232
194	153	883	7	88	15121	196	1512	5070	72	507
337	120	971	16	97	2638	38	263	2111	26	211
63	90	5133	49	513	1586	25	158	4584	57	458
32	82	1637	28	163	5227	80	522	14613	186	1461
379	51	2107	13	210	2891	35	289	8331	106	833
378	51	2164	18	216	2642	42	264	7563	113	756
299	393	8303	84	830	1045	17	104	2094	29	209
250	341	1544	11	154	1213	13	121	5742	67	574
283	286	2633	7	263	2439	39	243	9903	173	990
293	206	1347	16	134	2426	22	242	1847	17	184
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
321	76	1452	11	145	1746	19	174	3112	33	311
349	31	1404	25	140	3182	52	318	15550	234	1555
384	8	1485	14	148	3265	49	326	6486	99	648
282	290	2798	32	279	2170	32	217	8690	140	869
282	288	2523	15	252	2456	45	245	10715	200	1071
292	237	5606	82	560	1793	22	179	5438	73	543
294	206	1431	36	143	2477	30	247	1910	20	191
293	206	1347	16	134	2426	22	242	1847	17	184
297	173	1289	11	128	3114	44	311	2256	34	225
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
323	74	1367	15	136	2075	23	207	3774	41	377
322	75	1265	12	126	1951	12	195	3434	44	343
352	28	1605	43	160	3920	49	392	12677	211	1267
350	29	1481	27	148	3321	40	332	15406	198	1540
383	9	1375	8	137	3310	45	331	6586	88	658
383	8	1388	6	138	3234	46	323	6454	108	645
161	377	17947	213	1794	17059	255	1705	2432	32	243
273	211	6867	71	686	14813	231	1481	2141	32	214
43	193	5323	33	532	9526	166	952	5662	95	566
264	194	4474	22	447	5798	37	579	11405	98	1140
17	153	12919	101	1291	2016	39	201	6007	83	600
134	137	11768	109	1176	810	11	81	5839	87	583
42	92	8739	97	873	9037	137	903	5214	85	521
43	193	5323	33	532	9526	166	952	5662	95	566
270	202	8068	77	806	8027	45	802	4955	26	495
18	153	11683	160	1168	2010	40	201	6054	85	605
17	153	12919	101	1291	2016	39	201	6007	83	600
42	92	8739	97	873	9037	137	903	5214	85	521
253	355	7591	74	759	8975	122	897	5456	60	545
348	241	2042	11	204	5851	86	585	16756	255	1675
185	168	2905	47	290	1092	15	109	5062	72	506
254	354	8405	176	840	7430	110	743	4699	66	469
348	241	2042	11	204	5851	86	585	16756	255	1675
121	369	1647	13	164	1706	20	170	12944	204	1294
321	360	2920	28	292	1977	16	197	6304	89	630
340	281	947	11	94	7793	112	779	2964	43	296
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
221	170	1248	3	124	1865	21	186	14688	194	1468
371	102	5145	62	514	715	10	71	5390	74	539
276	97	2988	42	298	8533	106	853	4966	65	496
120	367	1921	10	192	1220	18	122	9049	162	904
320	366	3773	69	377	5278	75	527	6328	78	632
340	305	896	13	89	1217	18	121	5974	64	597
339	277	1015	10	101	8164	123	816	3048	38	304
339	279	816	13	81	7758	122	775	2858	42	285
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
222	170	1267	16	126	1912	27	191	15081	189	1508
221	170	1248	3	124	1865	21	186	14688	194	1468
276	97	2988	42	298	8533	106	853	4966	65	496
338	377	1414	10	141	3117	35	311	14908	207	1490
357	348	1620	20	162	2897	36	289	2224	29	222
374	330	2288	36	228	8791	139	879	5163	67	516
306	287	3944	25	394	1024	16	102	2167	28	216
344	300	755	5	75	1128	14	112	4263	59	426
150	262	2726	33	272	898	13	89	1800	23	180
380	243	2436	36	243	9777	135	977	2320	32	232
292	236	983	4	98	1172	10	117	5800	82	580
188	154	1657	32	165	5498	55	549	3634	40	363
337	120	971	16	97	2638	38	263	2111	26	211
63	90	5133	49	513	1586	25	158	4584	57	458
230	85	3858	40	385	980	17	98	2021	24	202
32	82	1637	28	163	5227	80	522	14613	186	1461
378	52	2458	30	245	2430	24	243	6832	78	683
338	377	1414	10	141	3117	35	311	14908	207	1490
360	324	987	9	98	1381	8	138	743	7	74
380	243	2436	36	243	9777	135	977	2320	32	232
194	153	883	7	88	15121	196	1512	5070	72	507
337	120	971	16	97	2638	38	263	2111	26	211
63	90	5133	49	513	1586	25	158	4584	57	458
32	82	1637	28	163	5227	80	522	14613	186	1461
379	51	2107	13	210	2891	35	289	8331	106	833
378	51	2164	18	216	2642	42	264	7563	113	756
299	393	8303	84	830	1045	17	104	2094	29	209
250	341	1544	11	154	1213	13	121	5742	67	574
283	286	2633	7	263	2439	39	243	9903	173	990
293	206	1347	16	134	2426	22	242	1847	17	184
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
321	76	1452	11	145	1746	19	174	3112	33	311
349	31	1404	25	140	3182	52	318	15550	234	1555
384	8	1485	14	148	3265	49	326	6486	99	648
282	290	2798	32	279	2170	32	217	8690	140	869
282	288	2523	15	252	2456	45	245	10715	200	1071
292	237	5606	82	560	1793	22	179	5438	73	543
294	206	1431	36	143	2477	30	247	1910	20	191
293	206	1347	16	134	2426	22	242	1847	17	184
297	173	1289	11	128	3114	44	311	2256	34	225
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
323	74	1367	15	136	2075	23	207	3774	41	377
322	75	1265	12	126	1951	12	195	3434	44	343
352	28	1605	43	160	3920	49	392	12677	211	1267
350	29	1481	27	148	3321	40	332	15406	198	1540
383	9	1375	8	137	3310	45	331	6586	88	658
383	8	1388	6	138	3234	46	323	6454	108	645
161	377	17947	213	1794	17059	255	1705	2432	32	243
273	211	6867	71	686	14813	231	1481	2141	32	214
43	193	5323	33	532	9526	166	952	5662	95	566
264	194	4474	22	447	5798	37	579	11405	98	1140
17	153	12919	101	1291	2016	39	201	6007	83	600
134	137	11768	109	1176	810	11	81	5839	87	583
42	92	8739	97	873	9037	137	903	5214	85	521
43	193	5323	33	532	9526	166	952	5662	95	566
270	202	8068	77	806	8027	45	802	4955	26	495
18	153	11683	160	1168	2010	40	201	6054	85	605
17	153	12919	101	1291	2016	39	201	6007	83	600
42	92	8739	97	873	9037	137	903	5214	85	521
253	355	7591	74	759	8975	122	897	5456	60	545
348	241	2042	11	204	5851	86	585	16756	255	1675
185	168	2905	47	290	1092	15	109	5062	72	506
254	354	8405	176	840	7430	110	743	4699	66	469
348	241	2042	11	204	5851	86	585	16756	255	1675
121	369	1647	13	164	1706	20	170	12944	204	1294
321	360	2920	28	292	1977	16	197	6304	89	630
340	281	947	11	94	7793	112	779	2964	43	296
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
221	170	1248	3	124	1865	21	186	14688	194	1468
371	102	5145	62	514	715	10	71	5390	74	539
276	97	2988	42	298	8533	106	853	4966	65	496
120	367	1921	10	192	1220	18	122	9049	162	904
320	366	3773	69	377	5278	75	527	6328	78	632
340	305	896	13	89	1217	18	121	5974	64	597
339	277	1015	10	101	8164	123	816	3048	38	304
339	279	816	13	81	7758	122	775	2858	42	285
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
222	170	1267	16	126	1912	27	191	15081	189	1508
221	170	1248	3	124	1865	21	186	14688	194	1468
276	97	2988	42	298	8533	106	853	4966	65	496
121	369	1647	13	164	1706	20	170	12944	204	1294
321	360	2920	28	292	1977	16	197	6304	89	630
340	281	947	11	94	7793	112	779	2964	43	296
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
221	170	1248	3	124	1865	21	186	14688	194	1468
371	102	5145	62	514	715	10	71	5390	74	539
276	97	2988	42	298	8533	106	853	4966	65	496
120	367	1921	10	192	1220	18	122	9049	162	904
320	366	3773	69	377	5278	75	527	6328	78	632
340	305	896	13	89	1217	18	121	5974	64	597
339	277	1015	10	101	8164	123	816	3048	38	304
339	279	816	13	81	7758	122	775	2858	42	285
253	246	2855	43	285	1657	21	165	4699	54	469
57	209	3198	44	319	9170	129	917	2183	29	218
222	170	1267	16	126	1912	27	191	15081	189	1508
221	170	1248	3	124	1865	21	186	14688	194	1468
276	97	2988	42	298	8533	106	853	4966	65	496
338	377	1414	10	141	3117	35	311	14908	207	1490
357	348	1620	20	162	2897	36	289	2224	29	222
374	330	2288	36	228	8791	139	879	5163	67	516
306	287	3944	25	394	1024	16	102	2167	28	216
344	300	755	5	75	1128	14	112	4263	59	426
150	262	2726	33	272	898	13	89	1800	23	180
380	243	2436	36	243	9777	135	977	2320	32	232
292	236	983	4	98	1172	10	117	5800	82	580
188	154	1657	32	165	5498	55	549	3634	40	363
337	120	971	16	97	2638	38	263	2111	26	211
63	90	5133	49	513	1586	25	158	4584	57	458
230	85	3858	40	385	980	17	98	2021	24	202
32	82	1637	28	163	5227	80	522	14613	186	1461
378	52	2458	30	245	2430	24	243	6832	78	683
338	377	1414	10	141	3117	35	311	14908	207	1490
360	324	987	9	98	1381	8	138	743	7	74
380	243	2436	36	243	9777	135	977	2320	32	232
194	153	883	7	88	15121	196	1512	5070	72	507
337	120	971	16	97	2638	38	263	2111	26	211
63	90	5133	49	513	1586	25	158	4584	57	458
32	82	1637	28	163	5227	80	522	14613	186	1461
379	51	2107	13	210	2891	35	289	8331	106	833
378	51	2164	18	216	2642	42	264	7563	113	756
299	393	8303	84	830	1045	17	104	2094	29	209
250	341	1544	11	154	1213	13	121	5742	67	574
283	286	2633	7	263	2439	39	243	9903	173	990
293	206	1347	16	134	2426	22	242	1847	17	184
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
321	76	1452	11	145	1746	19	174	3112	33	311
349	31	1404	25	140	3182	52	318	15550	234	1555
384	8	1485	14	148	3265	49	326	6486	99	648
282	290	2798	32	279	2170	32	217	8690	140	869
282	288	2523	15	252	2456	45	245	10715	200	1071
292	237	5606	82	560	1793	22	179	5438	73	543
294	206	1431	36	143	2477	30	247	1910	20	191
293	206	1347	16	134	2426	22	242	1847	17	184
297	173	1289	11	128	3114	44	311	2256	34	225
300	150	3060	44	306	7431	96	743	3353	41	335
203	81	1861	28	186	1820	18	182	14445	192	1444
323	74	1367	15	136	2075	23	207	3774	41	377
322	75	1265	12	126	1951	12	195	3434	44	343
352	28	1605	43	160	3920	49	392	12677	211	1267
350	29	1481	27	148	3321	40	332	15406	198	1540
383	9	1375	8	137	3310	45	331	6586	88	658
383	8	1388	6	138	3234	46	323	6454	108	645
